entity,dateOfBirth,nationality,almaMater,awards,workPlaces
Harold Marshall (acoustician),['1931-09-15'],['Auckland New Zealand'],"['KNZM', 'the University of Auckland School of Architecture', 'Marshall Day Acoustics Ltd', 'Marshall Day Acoustics', 'the Guangzhou Opera House', 'the Philharmonie de Paris']",[],"['KNZM', 'the University of Auckland School of Architecture', 'Marshall Day Acoustics Ltd', 'Marshall Day Acoustics', 'the Guangzhou Opera House', 'the Philharmonie de Paris']"
Ziauddin Ahmad,['1878-02-13'],['India'],"['the Aligarh Movement', 'MAO College', 'Aligarh Muslim University', 'Aligarh Muslim University', 'the Calcutta University Commission', 'the Sadler Commission', 'Skeen Committee', 'Indian Sandhurst Committee', 'Shea Commission', 'the Indianisation of the British Indian Army']",[],"['the Aligarh Movement', 'MAO College', 'Aligarh Muslim University', 'Aligarh Muslim University', 'the Calcutta University Commission', 'the Sadler Commission', 'Skeen Committee', 'Indian Sandhurst Committee', 'Shea Commission', 'the Indianisation of the British Indian Army']"
Heinz König,['1927-12-25'],"['König', 'Zentrum']","['the University of Mannheim', 'the University of Mannheim', 'ZEW']",[],"['the University of Mannheim', 'the University of Mannheim', 'ZEW']"
Izaak Kolthoff,['1894-02-11'],"['U.S.', 'Netherlands', 'the United States']","['Kolthoff', 'Kolthoff', 'the University of Utrecht', 'the University of Minnesota']",[],"['Kolthoff', 'Kolthoff', 'the University of Utrecht', 'the University of Minnesota']"
Murray Batchelor,['1961-08-27'],['Australia'],"['Chongqing University', 'the Australian National University', 'the Department of Theoretical Physics', 'the Research School of Physics and Engineering', 'the Mathematical Sciences Institute', 'Batchelor', 'the Pilbara Craton', 'Hamelin Pool Marine Nature Reserve']",[],"['Chongqing University', 'the Australian National University', 'the Department of Theoretical Physics', 'the Research School of Physics and Engineering', 'the Mathematical Sciences Institute', 'Batchelor', 'the Pilbara Craton', 'Hamelin Pool Marine Nature Reserve']"
Leon M. Lederman,['1922-07-15'],"['Batavia', 'Illinois', 'USA', 'Aurora', 'Illinois']","['Fermi National Accelerator Laboratory', 'Fermilab', 'the Illinois Mathematics and Science Academy', 'the Vannevar Bush Award']",[],"['Fermi National Accelerator Laboratory', 'Fermilab', 'the Illinois Mathematics and Science Academy', 'the Vannevar Bush Award']"
Peter Balazs (mathematician),['1970-12-11'],['Tulln'],"['the Acoustics Research Institute Vienna', 'the Austrian Academy of Sciences', 'the University of Vienna', 'Groups', 'the Acoustics Research Institute', 'NuHaG (Numerical Harmonic Analysis Group', 'Faculty of Mathematics,', 'University of Vienna', 'Harmonic Analysis', 'Statistics for Signal and Image Processing', 'EU', 'Topologie', 'CMI', 'LMA', 'UCL', 'Louvain-La-Neuve', 'Start-Preis', 'the Acoustics Research Institute']",[],"['the Acoustics Research Institute Vienna', 'the Austrian Academy of Sciences', 'the University of Vienna', 'Groups', 'the Acoustics Research Institute', 'NuHaG (Numerical Harmonic Analysis Group', 'Faculty of Mathematics,', 'University of Vienna', 'Harmonic Analysis', 'Statistics for Signal and Image Processing', 'EU', 'Topologie', 'CMI', 'LMA', 'UCL', 'Louvain-La-Neuve', 'Start-Preis', 'the Acoustics Research Institute']"
Lorenz Studer,['1966-03-06'],"['New York City', 'New York City', 'NY']","['the Center for Stem Cell Biology', 'Memorial-Sloan Kettering Cancer Center', 'the Developmental Biology Program and', 'Department of Neurosurgery', 'Weill Cornell Medical College', 'the MacArthur Fellowship']",[],"['the Center for Stem Cell Biology', 'Memorial-Sloan Kettering Cancer Center', 'the Developmental Biology Program and', 'Department of Neurosurgery', 'Weill Cornell Medical College', 'the MacArthur Fellowship']"
Basil Briggs,['1994-02-08'],"['Australia', 'Bradford', 'England', 'Malvern', 'Worcestershire']","['the University of Adelaide', 'the University of Cambridge', 'Telecommunications Research Establishment', 'the Radio Research Group', 'Cavendish Laboratory', 'Journal of Atmospheric and Terrestrial Physics', 'The Cavendish Radio Group', 'University of Adelaide', 'the Journal of Atmospheric and Terrestrial Physics']",[],"['the University of Adelaide', 'the University of Cambridge', 'Telecommunications Research Establishment', 'the Radio Research Group', 'Cavendish Laboratory', 'Journal of Atmospheric and Terrestrial Physics', 'The Cavendish Radio Group', 'University of Adelaide', 'the Journal of Atmospheric and Terrestrial Physics']"
M. M. S. Ahuja,['1998-07-12'],"['India', 'London', 'India', 'India', 'India', 'New Delhi', 'Sumati']","['Madras Medical College', 'M.R.C.P. (London', 'All India Institute of Medical Sciences', 'the Department of Medicine', 'the Department of Endocrinology and Metabolism', 'Hormone Foundation', 'International Journal of Diabetes', 'Indian Medicine', 'Vikas']",[],"['Madras Medical College', 'M.R.C.P. (London', 'All India Institute of Medical Sciences', 'the Department of Medicine', 'the Department of Endocrinology and Metabolism', 'Hormone Foundation', 'International Journal of Diabetes', 'Indian Medicine', 'Vikas']"
Sheldon Weinbaum,['1937-07-26'],"['Brooklyn', 'New York', 'United States', 'U.S.', 'New York City', 'New York State', 'New York City']","['The City College of New York', 'National Academy of Science', 'National Academy of Engineering', 'National Academy of Medicine', 'the American Academy of Arts and Sciences', 'the New York Center for Biomedical Engineering', 'The City College', 'SUNY', 'the Public Service Award of the Fund for the City of New York', 'the Inaugural Recipient', 'the Biomedical Engineering Society', 'the Selection Committee']",[],"['The City College of New York', 'National Academy of Science', 'National Academy of Engineering', 'National Academy of Medicine', 'the American Academy of Arts and Sciences', 'the New York Center for Biomedical Engineering', 'The City College', 'SUNY', 'the Public Service Award of the Fund for the City of New York', 'the Inaugural Recipient', 'the Biomedical Engineering Society', 'the Selection Committee']"
Jerome Bruner,['1915-10-01'],['B.A.'],"['Bruner', 'the New York University School of Law', 'Duke University', 'Harvard University', 'Bruner']",[],"['Bruner', 'the New York University School of Law', 'Duke University', 'Harvard University', 'Bruner']"
Earl Babbie,['1938-01-08'],[],"['Campbell Professor Emeritus', 'Behavioral Sciences', 'Chapman University']",[],"['Campbell Professor Emeritus', 'Behavioral Sciences', 'Chapman University']"
Udai Bhan Tewari,[],[],"['Udai', 'Group']",[],"['Udai', 'Group']"
